SRR11106102	cortex-p001-cb_257
SRR11106103	cortex-p001-cb_256
SRR11106104	cortex-p001-cb_255
SRR11106105	cortex-p001-cb_254
SRR11106106	cortex-p001-cb_253
SRR11106107	cortex-p001-cb_252
SRR11106108	cortex-p001-cb_251
SRR11106109	cortex-p001-cb_026
SRR11106110	cortex-p001-cb_250
SRR11106111	cortex-p001-cb_249
SRR11106112	cortex-p001-cb_248
SRR11106113	cortex-p001-cb_247
SRR11106114	cortex-p056-cb_189
SRR11106115	cortex-p056-cb_188
SRR11106116	cortex-p056-cb_187
SRR11106117	cortex-p056-cb_186
SRR11106118	cortex-p056-cb_185
SRR11106119	cortex-p056-cb_184
SRR11106124	cortex-p001-cb_010
SRR11106125	cortex-p056-cb_180
SRR11106126	cortex-p056-cb_179
SRR11106127	cortex-p056-cb_178
SRR11106128	cortex-p056-cb_177
SRR11106129	cortex-p056-cb_176
SRR11106130	cortex-p056-cb_175
SRR11106131	cortex-p056-cb_174
SRR11106132	cortex-p056-cb_173
SRR11106134	cortex-p056-cb_171
SRR11106136	cortex-p056-cb_170
SRR11106138	cortex-p056-cb_168
SRR11106139	cortex-p056-cb_167
SRR11106140	cortex-p056-cb_166
SRR11106141	cortex-p056-cb_165
SRR11106142	cortex-p056-cb_164
SRR11106143	cortex-p056-cb_163
SRR11106144	cortex-p056-cb_162
SRR11106145	cortex-p056-cb_161
SRR11106146	cortex-p056-cb_074
SRR11106147	cortex-p056-cb_073
SRR11106148	cortex-p056-cb_072
SRR11106149	cortex-p056-cb_071
SRR11106152	cortex-p056-cb_069
SRR11106153	cortex-p056-cb_068
SRR11106154	cortex-p056-cb_067
SRR11106155	cortex-p056-cb_066
SRR11106156	cortex-p056-cb_065
SRR11106157	cortex-p056-cb_064
SRR11106158	cortex-p056-cb_063
SRR11106159	cortex-p056-cb_062
SRR11106160	cortex-p056-cb_061
SRR11106162	cortex-p056-cb_060
SRR11106164	cortex-p056-cb_058
SRR11106165	cortex-p056-cb_057
SRR11106166	cortex-p056-cb_056
SRR11106167	cortex-p056-cb_055
SRR11106168	cortex-p056-cb_054
SRR11106169	cortex-p056-cb_053
SRR11106170	cortex-p056-cb_052
SRR11106171	cortex-p056-cb_051
SRR11106173	cortex-p056-cb_050
SRR11106174	cortex-p056-cb_049
SRR11106175	cortex-p056-cb_048
SRR11106176	cortex-p056-cb_047
SRR11106177	cortex-p056-cb_046
SRR11106178	cortex-p028-cb_199
SRR11106179	cortex-p028-cb_198
SRR11106180	cortex-p028-cb_197
SRR11106181	cortex-p028-cb_196
SRR11106182	cortex-p028-cb_195
SRR11106183	cortex-p028-cb_194
SRR11106184	cortex-p028-cb_193
SRR11106185	cortex-p028-cb_192
SRR11106186	cortex-p028-cb_191
SRR11106187	cortex-p001-cb_068
SRR11106188	cortex-p028-cb_190
SRR11106189	cortex-p028-cb_189
SRR11106190	cortex-p028-cb_188
SRR11106191	cortex-p028-cb_187
SRR11106192	cortex-p028-cb_186
SRR11106193	cortex-p028-cb_185
SRR11106194	cortex-p028-cb_184
SRR11106195	cortex-p028-cb_183
SRR11106196	cortex-p028-cb_182
SRR11106197	cortex-p028-cb_181
SRR11106198	cortex-p056-cb_102
SRR11106199	cortex-p056-cb_101
SRR11106200	cortex-p001-cb_083
SRR11106201	cortex-p056-cb_100
SRR11106203	cortex-p056-cb_098
SRR11106204	cortex-p056-cb_097
SRR11106205	cortex-p056-cb_096
SRR11106206	cortex-p056-cb_095
SRR11106207	cortex-p056-cb_094
SRR11106208	cortex-p056-cb_093
SRR11106209	cortex-p056-cb_092
SRR11106211	cortex-p001-cb_082
SRR11106212	cortex-p056-cb_090
SRR11106216	cortex-p056-cb_086
SRR11106217	cortex-p056-cb_085
SRR11106218	cortex-p056-cb_084
SRR11106219	cortex-p056-cb_083
SRR11106220	cortex-p056-cb_082
SRR11106221	cortex-p056-cb_081
SRR11106223	cortex-p001-cb_009
SRR11106224	cortex-p056-cb_080
SRR11106225	cortex-p056-cb_079
SRR11106226	cortex-p056-cb_078
SRR11106227	cortex-p056-cb_077
SRR11106228	cortex-p056-cb_076
SRR11106230	cortex-p001-cb_189
SRR11106231	cortex-p001-cb_188
SRR11106234	cortex-p001-cb_185
SRR11106239	cortex-p001-cb_019
SRR11106240	cortex-p001-cb_180
SRR11106241	cortex-p001-cb_179
SRR11106242	cortex-p001-cb_178
SRR11106243	cortex-p001-cb_177
SRR11106244	cortex-p001-cb_176
